종목코드,회사명
053080,원방테크
126340,비나텍
359090,엔에이치스팩17호
323990,박셀바이오
318410,비비씨
355150,교보10호기업인수목적
347770,핌스
291650,압타머사이언스
294090,이오플로우
293490,카카오게임즈
347740,피엔케이피부임상연구센타
353490,미래에셋대우스팩 5호
332370,아이디피
331920,셀레믹스
950190,미투젠
337930,브랜드엑스코퍼레이션
060850,영림원소프트랩
032300,한국파마
357780,솔브레인
164060,이루다
332570,와이팜
101360,이엔드디
353070,에이치엠씨제4호스팩
347890,엠투아이
298540,더네이쳐홀딩스
225220,제놀루션
304100,솔트룩스
343510,하나금융16호스팩
277880,티에스아이
262260,에이프로
351340,IBKS제13호스팩
950200,소마젠
290520,신도기연
330350,위더스제약
169330,마크로밀엠브레인
229000,젠큐릭스
351320,IBKS제14호스팩
297890,엘이티
298060,에스씨엠생명과학
353190,엔에이치스팩16호
353810,이지바이오
223250,드림씨아이에스
349720,이베스트스팩5호
347140,케이프이에스제4호
198080,엔피디
237820,플레이디
340350,SK6호스팩
092190,서울바이오시스
204270,제이앤티씨
274090,켄코아에어로스페이스
294140,레몬
294630,서남
344050,신영스팩6호
065370,위세아이텍
342550,케이비제20호스팩
341160,하나금융15호스팩
340440,한화플러스제1호스팩
311690,천랩
062970,피피아이
327260,메탈라이프
339950,엔에이치스팩15
340120,하이제5호스팩
288330,브릿지바이오
336570,대신밸런스제8호스팩
235980,메드팩토
340360,유안타제6호스팩
226330,신테카바이오
322510,제이엘케이
124560,태웅로직스
335870,IBKS제12호스팩
302550,리메드
337450,SK5호스팩
335890,IBKS제11호스팩
290510,코리아센터
336060,유안타제5호스팩
278650,노터스
321550,티움바이오
297090,씨에스베어링
103840,우양
190650,코리아에셋투자증권
306040,에스제이그룹
216080,제테마
214260,라파스
084850,아이티엠반도체
333430,미래에셋대우스팩4호
279600,미디어젠
332710,하나금융14호스팩
333050,신한제6호스팩
322180,티라유텍
331520,교보9호스팩
317530,캐리소프트
272110,케이엔제이
317870,엔바이오니아
318010,팜스빌
300120,라온피플
158430,아톤
234690,녹십자웰빙
332290,대신밸런스제7호스팩
331380,유진스팩5호
330990,케이비제19호스팩
244460,올리패스
317120,라닉스
320000,윈텍
256150,한독크린텍
329560,상상인이안제2호스팩
311390,네오크레마
195500,마니커에프앤지
328380,미래에셋대우스팩3호
286750,나노브릭
317830,에스피시스템스
228670,레이
186230,그린플러스
282880,코윈테크
317330,덕산테코피아
317770,슈프리마아이디
318000,한국바이오젠
148150,세경하이테크
313760,윌링스
317850,대모
241840,에이스토리
300080,플리토
323210,이베스트이안스팩1호
234340,세틀뱅크
289010,아이스크림에듀
251970,펌텍코리아
312610,에이에프더블류
323280,신영스팩5호
323940,케이비제18호스팩
323230,신한제5호스팩
293780,압타바이오
308100,까스텔바작
305090,마이크로디지탈
322780,DB금융스팩7호
321260,유진스팩4호
253840,수젠텍
307930,컴퍼니케이
319660,피에스케이
319400,엔에이치스팩14호
950180,SNK
317320,한화에스비아이스팩
317240,하이제4호스팩
125210,아모그린텍
228760,지노믹트리
317030,케이비17호스팩
099750,이지케어텍
313750,유안타제4호스팩
100790,미래에셋벤처투자
247540,에코프로비엠
299660,셀리드
278280,천보
246960,이노테라피
104620,노랑풍선
053580,웹케시
238200,비피도
311270,키움제5호스팩
310840,엔에이치스팩13호
263050,유틸렉스
290550,디케이티
307180,아이엘사이언스
310200,애니플러스
309930,삼성머스트스팩3호
299900,위지윅스튜디오
310870,한국제8호스팩
307750,대신밸런스제6호스팩
298380,에이비엘바이오
100590,머큐리
110020,전진바이오팜
270870,뉴트리
307870,상상인이안1호스팩
302430,이노메트리
307070,SK4호스팩
290120,대유에이피
307280,교보8호스팩
128540,에코캡
299910,베스파
900340,윙입푸드
307160,하나머스트제6호스팩
111710,남화산업
179290,엠아이텍
117730,티로보틱스
290660,네오펙트
246710,티앤알바이오팹
263690,디알젬
217330,싸이토젠
027360,아주IB투자
208340,파멥신
263020,디케이앤디
227100,디자인
194700,노바렉스
268600,셀리버리
290670,대보마그네틱
285490,노바텍
290650,엘앤씨바이오
306620,네온테크
108490,로보티즈
153710,옵티팜
288620,에스퓨얼셀
293580,나우IB
290720,푸드나무
110790,크리스에프앤씨
299170,IBKS제10호스팩
219750,지티지웰니스
257370,명성티엔에스
291230,삼성스팩2호
197140,디지캡
303030,지니틱스
290740,액트로
173130,오파스넷
089970,에이피티씨
086820,바이오솔루션
290380,대유
110990,디아이티
275630,에스에스알
290270,휴네시온
080720,한국유니온제약
204020,그리티
297570,알로이스
226950,올릭스
175250,아이큐어
289080,SV인베스트먼트
245620,EDGC
284620,카이노스메드
037030,파워넷
016790,현대사료
258830,세종메디칼
122310,제노레이
291210,한국제7호스팩
287410,유안타제3호스팩
950170,JTC
253590,네오셈
263700,케어랩스
064510,에코마이스터
277070,린드먼아시아
226400,오스테오닉
183490,엔지켐생명과학
006620,동구바이오제약
154030,아시아종묘
260660,알리코제약
042000,카페24
219420,링크제니시스
267790,배럴
255220,SG
264660,씨앤지하이테크
269620,시스웍
187870,디바이스이엔지
281740,레이크머티리얼즈
260930,씨티케이코스메틱스
241770,메카로
234300,에스트래픽
066360,체리부로
007680,대원
138580,비즈니스온
253450,스튜디오드래곤
148140,비디아이
950160,코오롱티슈진
265560,영화테크
234100,세원
263810,상신전자
255440,야스
277410,인산가
263920,블러썸엠앤씨
243840,신흥에스이씨
179900,유티아이
171090,선익시스템
259630,엠플러스
174900,앱클론
263540,샘코
263750,펄어비스
256940,케이피에스
263600,덕우전자
258610,이더블유케이
270520,지엔원에너지
140670,알에스오토메이션
900310,컬러레이
273060,와이즈버즈
118990,모트렉스
263800,데이타솔루션
263860,지니언스
263720,디앤씨미디어
091990,셀트리온헬스케어
181340,이즈미디어
238490,힘스
251630,브이원텍
227610,아우딘퓨쳐스
272290,이녹스첨단소재
003380,하림지주
261200,덴티스
267320,나인테크
250000,보라티알
267980,매일유업
225190,삼양옵틱스
264850,이랜시스
161580,필옵틱스
256630,포인트엔지니어링
166090,하나머티리얼즈
258790,소프트캠프
251370,와이엠티
265520,AP시스템
263770,유에스티
063760,이엘피
264450,유비쿼스
178320,서진시스템
183300,코미코
246720,아스타
217480,에스디생명공학
002800,신신제약
083500,에프엔에스테크
087260,모바일어플라이언스
241820,피씨엘
140070,서플러스글로벌
206650,유바이오로직스
256840,한국비엔씨
195440,퓨전
241520,DSC인베스트먼트
246690,TS인베스트먼트
147760,마이크로프랜드
196300,애니젠
203450,유니온커뮤니티
215600,신라젠
254120,자비스
241790,오션브릿지
220100,퓨쳐켐
144960,뉴파워프라즈마
156100,엘앤케이바이오
176440,에이치엔티
220180,핸디소프트
237880,클리오
900300,오가닉티코스메틱
238120,얼라인드
252500,세화피앤씨
216050,인크로스
239610,에이치엘사이언스
241710,코스메카코리아
900290,GRT
900280,골든센츄리
189300,인텔리안테크
072990,에이치시티
950140,잉글우드랩
238090,앤디포스
050960,수산아이앤티
201490,미투온
250930,예선테크
241690,유니테크노
250060,모비스
242040,나무기술
234920,자이글
900270,헝셩그룹
230360,에코마케팅
038160,팍스넷
208860,엔지스테크널러지
073560,우리손에프앤지
123010,아이에이네트웍스
174880,장원테크
071460,위니아딤채
142760,바이오리더스
237750,피앤씨테크
900260,로스웰
144510,녹십자랩셀
237690,에스티팜
148250,알엔투테크놀로지
239340,줌인터넷
243070,휴온스
240810,원익IPS
228850,레이언스
225330,씨엠에스에듀
228340,동양파일
222110,팬젠
211270,AP위성
230980,솔트웍스
115180,큐리언트
065660,안트로젠
236200,슈프리마
226350,아이엠텍
142210,유니트론텍
900250,크리스탈신소재
221610,자안
109610,에스와이
224060,코디엠
223310,경남제약헬스케어
232140,와이아이케이
191410,육일씨엔에쓰
145020,휴젤
222980,한국맥널티
206560,덱스터
013310,아진산업
217730,강스템바이오텍
047920,메디포럼제약
133750,메가엠디
225530,보광산업
140860,파크시스템스
230240,에치에프알
122640,예스티
222040,코스맥스엔비티
058110,멕아이씨에스
217820,엔에스
213090,미래테크놀로지
221840,하이즈항공
180400,캔서롭
127160,매직마이크로
221980,케이디켐
212560,네오오토
227950,마이크로텍
214370,케어젠
185490,아이진
190510,나무가
056090,유앤아이
226340,본느
115960,연우
182400,엔케이맥스
092870,엑시콘
226360,이엑스티
214870,뉴지랩
225430,케이엠제약
226440,한송네오텍
225590,패션플랫폼
225570,넷게임즈
217190,제너셈
219130,타이거일렉
175140,인포마크
222080,씨아이에스
220630,해마로푸드서비스
224110,에이텍티앤
196700,웹스
131760,파인텍
222810,마이더스AI
222800,심텍
189980,흥국에프엔비
222420,쎄노텍
094360,칩스앤미디어
127710,아시아경제
214430,아이쓰리시스템
067730,로지시스
220260,켐트로스
214450,파마리서치프로덕트
219550,MP한강
087010,펩트론
218410,RFHIC
094170,동운아나텍
214180,민앤지
178780,유테크
160600,이큐셀
217600,켐온
166480,코아스템
214310,세미콘라이트
177350,베셀
217270,넵튠
218150,미래생명자원
160980,싸이맥스
217500,러셀
087600,픽셀플러스
217620,디딤
187420,제노포커스
215380,우정바이오
215480,토박스코리아
215790,이노인스트루먼트
215360,우리산업
215200,메가스터디교육
215090,이디티
215100,로보로보
214680,디알텍
195990,에이비프로바이오
215000,골프존
214150,클래시스
214270,퓨쳐스트림네트웍스
189690,포시에스
213420,덕산네오룩스
060480,국일신동
206640,바디텍메드
204630,스튜디오산타클로스
208640,썸에이지
193250,와이제이엠게임즈
