종목코드,회사명
323410,카카오뱅크
137310,에스디바이오센서
097520,엠씨넥스
383800,LX홀딩스
383220,F&F
380440,엔에이치스팩19호
361610,SK아이이테크놀로지
302440,SK바이오사이언스
378850,화승알앤에이
950210,프레스티지바이오파마
248070,솔루엠
375500,DL이앤씨
365550,ESR켄달스퀘어리츠
009900,명신산업
244920,에이플러스에셋
339770,교촌에프앤비
352820,하이브
363280,티와이홀딩스
357120,코람코에너지리츠
348950,제이알글로벌리츠
357250,미래에셋맵스리츠
350520,이지스레지던스리츠
334890,이지스밸류플러스리츠
326030,에스케이바이오팜
353200,대덕전자
344820,케이씨씨글라스
338100,NH프라임리츠
308170,센트랄모텍
322000,현대에너지솔루션
272210,한화시스템
317400,자이에스앤디
330590,롯데리츠
013890,지누스
336260,두산퓨얼셀
336370,솔루스첨단소재
036420,제이콘텐트리
003670,포스코케미칼
307950,현대오토에버
192650,드림텍
192080,더블유게임즈
316140,우리금융지주
298690,에어부산
267850,아시아나IDT
306200,세아제강
293480,하나제약
010400,우진아이엔에스
293940,신한알파리츠
300720,한일시멘트
091810,티웨이항공
286940,롯데정보통신
298040,효성중공업
298050,효성첨단소재
298020,효성티앤씨
298000,효성화학
088260,이리츠코크렙
294870,HDC현대산업개발
018250,애경산업
068270,셀트리온
284740,쿠쿠홈시스
285130,SK케미칼
282330,BGF리테일
092780,동양피스톤
272450,진에어
281820,케이씨텍
282690,동아타이어
272550,삼양패키징
055490,테이팩스
280360,롯데제과
271980,제일약품
035720,카카오
271560,오리온
268280,미원에스씨
267290,경동도시가스
251270,넷마블
267270,현대건설기계
267260,현대일렉트릭
267250,현대중공업지주
264900,크라운제과
145720,덴티움
111110,호전실업
143210,핸즈코퍼레이션
241560,두산밥캣
207940,삼성바이오로직스
234080,JW생명과학
241590,화승엔터프라이즈
229640,LS전선아시아
204210,모두투어리츠
249420,일동제약
248170,샘표식품
016740,두올
026960,동서
123890,한국자산신탁
034830,한국토지신탁
195870,해성디에스
070960,용평리조트
101530,해태제과식품
004440,삼일씨엔에스
194370,제이에스코퍼레이션
226320,잇츠한불
075580,세진중공업
214330,금호에이치티
089590,제주항공
227840,현대코퍼레이션홀딩스
079550,LIG넥스원
039570,HDC아이콘트롤스
002690,동일제강
095570,AJ네트웍스
214320,이노션
214420,토니모리
085620,미래에셋생명
